013761,00000000137614,00,0007150,00,000,0,000,000,00000000,0,0,0,NARANJA IMPORTADA X KG     ,
013879,00000000138796,00,0021050,00,000,0,000,000,00000000,1,0,0,CHOCLO DULCE EN BANDEJA XUN,
014088,00000000140881,00,0004950,00,000,0,000,000,00000000,0,0,0,PATITA DE CERDO S E 1 KG   ,
015934,00000000159340,00,0004500,00,000,0,000,000,00000000,0,0,0,CALABAZA S E 1 KG          ,
016293,00000000162937,00,0031200,00,000,0,000,000,00000000,0,0,0,UVA S E ROSADO IMPORT X KL ,
016302,00000000163026,00,0007500,00,000,0,000,000,00000000,0,0,0,SANDIA IMPORTADA S E X KG  ,
018288,00000000182881,00,0006450,00,000,0,000,000,00000000,0,0,0,PUCHERO DE CERDO S E 1 KG  ,
019169,00000000191692,00,0007200,00,000,0,000,000,00000000,0,0,0,MANZANA COLEGIALA ECONOMICA,
019182,00000000191821,00,0002750,00,000,0,000,000,00000000,0,0,0,NARANJA ECONOMICA X KG     ,
019239,00000000192392,00,0007500,00,000,0,000,000,00000000,0,0,0,CALABAZA BRASILERO SC S E 1,
019276,00000000192767,00,0122150,00,000,0,000,000,00000000,0,0,0,COL DE BRUSELAS SC S E 1 KG,
019309,00000000193092,00,0081450,00,000,0,000,000,00000000,0,0,0,CARAMBOLA BRASILERO SC 1KG ,
019315,00000000193153,00,0004250,00,000,0,000,000,00000000,1,0,0,ACELGA  X MAZO             ,
019316,00000000193160,00,0003100,00,000,0,000,000,00000000,1,0,0,ACELGA CHINA  X MAZO       ,
019318,00000000193184,00,0002250,00,000,0,000,000,00000000,1,0,0,ALBAHACA VERDE  HOJA X MAZO,
019319,00000000193191,00,0001150,00,000,0,000,000,00000000,1,0,0,ACHICORIA BLANCA X MAZO    ,
019321,00000000193214,00,0003950,00,000,0,000,000,00000000,1,0,0,BERRO  X MAZO              ,
019323,00000000193238,00,0001250,00,000,0,000,000,00000000,1,0,0,CEBOLLITA DE HOJA X UN     ,
019324,00000000193245,00,0005650,00,000,0,000,000,00000000,1,0,0,CEBOLLA DE CABEZA CON HOJA ,
019326,00000000193269,00,0004250,00,000,0,000,000,00000000,1,0,0,COLINABO  X UN             ,
019327,00000000193276,00,0002100,00,000,0,000,000,00000000,1,0,0,ESCAROLA  X UN             ,
019328,00000000193283,00,0003400,00,000,0,000,000,00000000,1,0,0,ESPINACA BLANCA X UN       ,
019329,00000000193290,00,0002550,00,000,0,000,000,00000000,1,0,0,ESPINACA NEGRA X UN        ,
